postal_code;mun_name
5150;Floreffe
5170;Profondeville
5190;Jemeppe-sur-Sambre
5300;Andenne
5310;Eghezee
5330;Assesse
5332;Assesse
5333;Assesse
5334;Assesse
5336;Assesse
5340;Gesves
5350;Ohey
5351;Ohey
5352;Ohey
5353;Ohey
5354;Ohey
5360;Hamois
5361;Hamois
5362;Hamois
5363;Hamois
5364;Hamois
5370;Havelange
5372;Havelange
5374;Havelange
5376;Havelange
5377;Somme-Leuze
5380;Fernelmont
5500;Dinant
5501;Dinant
5502;Dinant
5503;Dinant
5504;Dinant
5520;Onhaye
5521;Onhaye
5522;Onhaye
5523;Onhaye
5524;Onhaye
5530;Yvoir
5537;Anhee
5540;Hastiere
5541;Hastiere
5542;Hastiere
5543;Hastiere
5544;Hastiere
5550;Vresse-sur-Semois
5555;Bievre
5560;Houyet
5561;Houyet
5562;Houyet
5563;Houyet
5564;Houyet
5570;Beauraing
5571;Beauraing
5572;Beauraing
5573;Beauraing
5574;Beauraing
5575;Gedinne
5576;Beauraing
5580;Rochefort
5590;Ciney
5600;Philippeville
5620;Florennes
5621;Florennes
5630;Cerfontaine
5640;Mettet
5641;Mettet
5644;Mettet
5646;Mettet
5650;Walcourt
5651;Walcourt
5660;Couvin
5670;Viroinval
5680;Doische
6000;Charleroi
6001;Charleroi
6010;Charleroi
6020;Charleroi
6030;Charleroi
6031;Charleroi
6032;Charleroi
6040;Charleroi
6041;Charleroi
6042;Charleroi
6043;Charleroi
6044;Charleroi
6060;Charleroi
6061;Charleroi
6110;Montigny-le-Tilleul
6111;Montigny-le-Tilleul
6120;Ham-sur-Heure-Nalinnes
6140;Fontaine-lEveque
6141;Fontaine-lEveque
6142;Fontaine-lEveque
6150;Anderlues
6180;Courcelles
6181;Courcelles
6182;Courcelles
6183;Courcelles
6200;Chatelet
6210;Les Bons Villers
6211;Les Bons Villers
6220;Fleurus
6221;Fleurus
6222;Fleurus
6223;Fleurus
6224;Fleurus
6230;Pont-a-Celles
6238;Pont-a-Celles
6240;Farciennes
6250;Aiseau-Presles
6280;Gerpinnes
6440;Froidchapelle
6441;Froidchapelle
6460;Chimay
6461;Chimay
6462;Chimay
6463;Chimay
6464;Chimay
6470;Sivry-Rance
6500;Beaumont
6511;Beaumont
6530;Thuin
6531;Thuin
6532;Thuin
6533;Thuin
6534;Thuin
6536;Thuin
6540;Lobbes
6542;Lobbes
6543;Lobbes
6560;Erquelinnes
6567;Merbes-le-Chateau
6590;Momignies
6591;Momignies
6592;Momignies
6593;Momignies
6594;Momignies
6596;Momignies
6600;Bastenaken
6630;Martelange
6637;Fauvillers
6640;Vaux-sur-Sure
6642;Vaux-sur-Sure
6660;Houffalize
6661;Houffalize
6662;Houffalize
6663;Houffalize
6666;Houffalize
6670;Gouvy
6671;Gouvy
6672;Gouvy
6673;Gouvy
6674;Gouvy
6680;Sainte-Ode
6681;Sainte-Ode
6686;Bastenaken
6687;Bastenaken
6688;Bastenaken
6690;Vielsalm
6692;Vielsalm
6698;Vielsalm
6700;Aarlen
6704;Aarlen
6706;Aarlen
6717;Attert
6720;Habay
6721;Habay
6723;Habay
6724;Habay
6730;Tintigny
6740;Etalle
6741;Etalle
6742;Etalle
6743;Etalle
6747;Saint-Leger
6750;Musson
6760;Virton
6761;Virton
6762;Virton
6767;Rouvroy
6769;Meix-devant-Virton
6780;Messancy
6781;Messancy
6782;Messancy
6790;Aubange
6791;Aubange
6792;Aubange
6800;Libramont-Chevigny
6810;Chiny
6811;Chiny
6812;Chiny
6813;Chiny
6820;Florenville
6821;Florenville
6823;Florenville
6824;Florenville
6830;Bouillon
6831;Bouillon
6832;Bouillon
6833;Bouillon
6834;Bouillon
6836;Bouillon
6838;Bouillon
6840;Neufchateau
6850;Paliseul
6851;Paliseul
6852;Paliseul
6853;Paliseul
6856;Paliseul
6860;Leglise
6870;Saint-Hubert
6880;Bertrix
6887;Herbeumont
6890;Libin
6900;Marche-en-Famenne
6920;Wellin
6921;Wellin
6922;Wellin
6924;Wellin
6927;Tellin
6929;Daverdisse
6940;Durbuy
6941;Durbuy
6950;Nassogne
6951;Nassogne
6952;Nassogne
6953;Nassogne
6960;Manhay
6970;Tenneville
6971;Tenneville
6972;Tenneville
6980;La Roche-en-Ardenne
6982;La Roche-en-Ardenne
6983;La Roche-en-Ardenne
6984;La Roche-en-Ardenne
6986;La Roche-en-Ardenne
6987;Rendeux
6990;Hotton
6997;Erezee
7000;Bergen
7010;Bergen
7011;Bergen
7012;Bergen
7020;Bergen
7021;Bergen
7022;Bergen
7024;Bergen
7030;Bergen
7031;Bergen
7032;Bergen
7033;Bergen
7034;Bergen
7040;Quevy
7041;Quevy
7050;Jurbeke
7060;Zinnik
7061;Zinnik
7062;Zinnik
7063;Zinnik
7070;Le Roeulx
7080;Frameries
7090;Gravenbrakel
7100;La Louviere
7110;La Louviere
7120;Estinnes
7130;Binche
7131;Binche
7133;Binche
7134;Binche
7140;Morlanwelz
7141;Morlanwelz
7160;Chapelle-lez-Herlaimont
7170;Manage
7180;Seneffe
7181;Seneffe
7190;Ecaussinnes
7191;Ecaussinnes
7300;Boussu
7301;Boussu
7320;Bernissart
7321;Bernissart
7322;Bernissart
7330;Saint-Ghislain
7331;Saint-Ghislain
7332;Saint-Ghislain
7333;Saint-Ghislain
7334;Saint-Ghislain
7340;Colfontaine
7350;Hensies
7370;Dour
7380;Quievrain
7382;Quievrain
7387;Honnelles
7390;Quaregnon
7500;Doornik
7501;Doornik
7502;Doornik
7503;Doornik
7504;Doornik
7506;Doornik
7520;Doornik
7521;Doornik
7522;Doornik
7530;Doornik
7531;Doornik
7532;Doornik
7533;Doornik
7534;Doornik
7536;Doornik
7538;Doornik
7540;Doornik
7542;Doornik
7543;Doornik
7548;Doornik
7600;Peruwelz
7601;Peruwelz
7602;Peruwelz
7603;Peruwelz
7604;Peruwelz
7608;Peruwelz
7610;Rumes
7611;Rumes
7618;Rumes
7620;Brunehaut
7621;Brunehaut
7622;Brunehaut
7623;Brunehaut
7624;Brunehaut
7640;Antoing
7641;Antoing
7642;Antoing
7643;Antoing
7700;Moeskroen
7711;Moeskroen
7712;Moeskroen
7730;Estaimpuis
7740;Pecq
7742;Pecq
7743;Pecq
7750;Mont-de-lEnclus
7760;Celles
7780;Komen-Waasten
7781;Komen-Waasten
7782;Komen-Waasten
7783;Komen-Waasten
7784;Komen-Waasten
7800;Aat
7801;Aat
7802;Aat
7803;Aat
7804;Aat
7810;Aat
7811;Aat
7812;Aat
7822;Aat
7823;Aat
7830;Opzullik
7850;Edingen
7860;Lessen
7861;Lessen
7862;Lessen
7863;Lessen
7864;Lessen
7866;Lessen
7870;Lens
7880;Vloesberg
7890;Elzele
7900;Leuze-en-Hainaut
7901;Leuze-en-Hainaut
7903;Leuze-en-Hainaut
7904;Leuze-en-Hainaut
7906;Leuze-en-Hainaut
7910;Frasnes-lez-Anvaing
7911;Frasnes-lez-Anvaing
7912;Frasnes-lez-Anvaing
7940;Brugelette
7941;Brugelette
7942;Brugelette
7943;Brugelette
7950;Chievres
7951;Chievres
7970;Beloeil
7971;Beloeil
7972;Beloeil
7973;Beloeil
8000;Brugge
8020;Oostkamp
8200;Brugge
8210;Zedelgem
8211;Zedelgem
8300;Knokke-Heist
8301;Knokke-Heist
8310;Brugge
8340;Damme
8370;Blankenberge
8377;Zuienkerke
8380;Brugge
8400;Oostende
8420;De Haan
8421;De Haan
8430;Middelkerke
8431;Middelkerke
8432;Middelkerke
8433;Middelkerke
8434;Middelkerke
8450;Bredene
8460;Oudenburg
8470;Gistel
8480;Ichtegem
8490;Jabbeke
8500;Kortrijk
8501;Kortrijk
8510;Kortrijk
8511;Kortrijk
8520;Kuurne
8530;Harelbeke
8531;Harelbeke
8540;Deerlijk
8550;Zwevegem
8551;Zwevegem
8552;Zwevegem
8553;Zwevegem
8554;Zwevegem
8560;Wevelgem
8570;Anzegem
8572;Anzegem
8573;Anzegem
8580;Avelgem
8581;Avelgem
8582;Avelgem
8583;Avelgem
8587;Spiere-Helkijn
8600;Diksmuide
8610;Kortemark
8620;Nieuwpoort
8630;Veurne
8640;Vleteren
8647;Lo-Reninge
8650;Houthulst
8660;De Panne
8670;Koksijde
8680;Koekelare
8690;Alveringem
8691;Alveringem
8700;Tielt
8710;Wielsbeke
8720;Dentergem
8730;Beernem
8740;Pittem
8750;Wingene
8755;Wingene
8760;Tielt
8770;Ingelmunster
8780;Oostrozebeke
8790;Waregem
8791;Waregem
8792;Waregem
8793;Waregem
8800;Roeselare
8810;Lichtervelde
8820;Torhout
8830;Hooglede
8840;Staden
8850;Ardooie
8851;Ardooie
8860;Lendelede
8870;Izegem
8880;Ledegem
8890;Moorslede
8900;Ieper
8902;Ieper
8904;Ieper
8906;Ieper
8908;Ieper
8920;Langemark-Poelkapelle
8930;Menen
8940;Wervik
8950;Heuvelland
8951;Heuvelland
8952;Heuvelland
8953;Heuvelland
8954;Heuvelland
8956;Heuvelland
8957;Mesen
8958;Heuvelland
8970;Poperinge
8972;Poperinge
8978;Poperinge
8980;Zonnebeke
9000;Gent
9030;Gent
9031;Gent
9032;Gent
9040;Gent
9041;Gent
9042;Gent
9050;Gent
9051;Gent
9052;Gent
9060;Zelzate
9070;Destelbergen
9080;Lochristi
9090;Merelbeke-Melle
9100;Sint-Niklaas
9111;Sint-Niklaas
9112;Sint-Niklaas
9120;Beveren-Kruibeke-Zwijndrecht
9130;Beveren-Kruibeke-Zwijndrecht
9140;Temse
9150;Beveren-Kruibeke-Zwijndrecht
9160;Lokeren
9170;Sint-Gillis-Waas
9180;Lokeren
9185;Lochristi
9190;Stekene
9200;Dendermonde
9220;Hamme
9230;Wetteren
9240;Zele
9250;Waasmunster
9255;Buggenhout
9260;Wichelen
9270;Laarne
9280;Lebbeke
9290;Berlare
9300;Aalst
9308;Aalst
9310;Aalst
9320;Aalst
9340;Lede
9400;Ninove
9401;Ninove
9402;Ninove
9403;Ninove
9404;Ninove
9406;Ninove
9420;Erpe-Mere
9450;Haaltert
9451;Haaltert
9470;Denderleeuw
9472;Denderleeuw
9473;Denderleeuw
9500;Geraardsbergen
9506;Geraardsbergen
9520;Sint-Lievens-Houtem
9521;Sint-Lievens-Houtem
9550;Herzele
9551;Herzele
9552;Herzele
9570;Lierde
9571;Lierde
9572;Lierde
9600;Ronse
9620;Zottegem
9630;Zwalm
9636;Zwalm
9660;Brakel
9661;Brakel
9667;Horebeke
9680;Maarkedal
9681;Maarkedal
9688;Maarkedal
9690;Kluisbergen
9700;Oudenaarde
9750;Kruisem
9770;Kruisem
9771;Kruisem
9772;Kruisem
9790;Wortegem-Petegem
9800;Deinze
9810;Nazareth-De Pinte
9820;Merelbeke-Melle
9830;Sint-Martens-Latem
9831;Sint-Martens-Latem
9840;Nazareth-De Pinte
9850;Deinze
9860;Oosterzele
9870;Zulte
9880;Aalter
9881;Aalter
9890;Gavere
9900;Eeklo
9910;Aalter
9920;Lievegem
9921;Lievegem
9930;Lievegem
9931;Lievegem
9932;Lievegem
9940;Evergem
9950;Lievegem
9960;Assenede
9961;Assenede
9968;Assenede
9970;Kaprijke
9971;Kaprijke
9980;Sint-Laureins
9981;Sint-Laureins
9982;Sint-Laureins
9988;Sint-Laureins
9990;Maldegem
9991;Maldegem
9992;Maldegem
